rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.191931,0.141674,0.023009,0.007349,0.000216,0.010755,0.008692,0.000199,-0.000006
1,1,False,True,0.188491,0.138419,0.022512,0.007026,0.000214,0.010737,0.009034,0.000509,-0.000008
2,2,False,True,0.192975,0.141330,0.022300,0.006625,0.000215,0.011243,0.010379,0.000836,-0.000010
3,3,False,True,0.189020,0.139129,0.021800,0.006414,0.000211,0.010628,0.009757,0.001036,-0.000012
4,4,False,True,0.189456,0.139664,0.021454,0.006276,0.000215,0.011075,0.009717,0.001013,-0.000011
5,5,False,True,0.189821,0.139700,0.021416,0.005985,0.000209,0.010732,0.010452,0.001284,-0.000012
6,6,False,True,0.189560,0.139077,0.020754,0.005383,0.000209,0.010708,0.011642,0.001739,-0.000014
7,7,False,True,0.191142,0.140597,0.020541,0.005008,0.000208,0.010641,0.012073,0.002025,-0.000015
8,8,False,True,0.191939,0.140358,0.020310,0.005419,0.000245,0.011148,0.012324,0.002087,-0.000016
9,9,False,True,0.191384,0.141191,0.020526,0.004999,0.000207,0.010742,0.011745,0.001926,-0.000017
10,10,False,True,0.189608,0.139438,0.020385,0.004817,0.000209,0.011078,0.011435,0.002196,-0.000017
inf,inf,False,True,0.192703,0.140274,0.019944,0.004845,0.000211,0.010760,0.013338,0.003260,-0.000040
