rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,183,76,259,288,0,288,0,5032,5032,0,0,0,0,0,0,81,0
0,0,True,True,183,76,259,334,73,407,0,5032,5032,0,0,0,0,0,0,81,0
1,1,False,True,183,76,259,263,0,263,25,5032,5057,0,11,9,0,2,9,81,0
1,1,True,True,183,76,259,309,73,382,25,5032,5057,0,11,9,0,2,9,81,0
2,2,False,True,183,76,259,239,0,239,49,5032,5081,0,22,13,0,9,13,81,0
2,2,True,True,183,76,259,285,73,358,49,5032,5081,0,22,13,0,9,13,81,0
3,3,False,True,183,76,259,221,0,221,67,5032,5099,0,29,17,0,12,17,81,0
3,3,True,True,183,76,259,266,69,335,72,5032,5104,0,30,17,0,13,17,81,2
4,4,False,True,183,76,259,201,0,201,87,5032,5119,0,35,22,0,13,19,81,0
4,4,True,True,183,76,259,236,59,295,112,5032,5144,0,40,25,0,15,22,81,12
5,5,False,True,183,76,259,188,0,188,100,5032,5132,1,38,27,0,11,22,81,0
5,5,True,True,183,76,259,221,52,273,134,5032,5166,0,43,30,0,13,24,81,18
6,6,False,True,183,76,259,163,0,163,125,5032,5157,5,43,31,0,12,26,81,0
6,6,True,True,183,76,259,192,49,241,166,5032,5198,0,49,34,0,15,28,81,21
7,7,False,True,183,76,259,157,0,157,131,5032,5163,8,44,32,0,12,27,81,0
7,7,True,True,183,76,259,182,46,228,179,5032,5211,0,50,36,0,14,29,81,24
8,8,False,True,183,76,259,143,0,143,145,5032,5177,12,47,34,0,13,28,81,0
8,8,True,True,183,76,259,168,46,214,193,5032,5225,0,53,38,0,15,29,81,24
9,9,False,True,183,76,259,138,0,138,150,5032,5182,12,48,36,0,12,29,81,0
9,9,True,True,183,76,259,163,44,207,200,5032,5232,0,54,40,0,14,30,81,26
10,10,False,True,183,76,259,125,0,125,163,5032,5195,20,50,37,0,13,31,81,0
10,10,True,True,183,76,259,148,43,191,216,5032,5248,0,56,41,0,15,31,81,27
inf,inf,False,True,183,76,259,0,0,0,288,5032,5320,90,65,48,4,13,32,81,0
inf,inf,True,True,183,76,259,0,0,0,407,5032,5439,0,76,55,0,21,29,81,68
