rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,25.679858,20.445302,4.403998,0.663551,0.014994,0.106829,0.042032,0.002946,-0.000166
0,0,True,True,25.993010,20.621579,4.642393,0.573292,0.013144,0.100318,0.039016,0.003082,-0.000150
1,1,False,True,25.193618,20.249665,4.166261,0.585024,0.014062,0.110227,0.049886,0.018289,-0.000164
1,1,True,True,25.513700,20.035967,4.629739,0.655257,0.013473,0.108795,0.051426,0.018844,-0.000162
2,2,True,True,25.455472,20.475454,4.211714,0.550240,0.016604,0.107394,0.057713,0.036155,-0.000162
2,2,False,True,26.025063,20.881835,4.248438,0.655800,0.017691,0.122792,0.063127,0.035172,-0.000169
3,3,False,True,31.222524,26.008916,4.337054,0.613018,0.013753,0.138615,0.066577,0.044374,-0.000170
3,3,True,True,24.984714,20.083015,4.109549,0.558160,0.014010,0.103893,0.063514,0.049812,-0.002720
4,4,True,True,25.398654,20.443787,4.114390,0.547155,0.013385,0.105265,0.085487,0.081193,-0.007952
4,4,False,True,26.440240,21.219054,4.386394,0.581745,0.014133,0.110314,0.068668,0.059659,-0.000178
5,5,False,True,25.156095,19.965325,4.329908,0.570685,0.013863,0.109876,0.084060,0.082143,-0.000195
5,5,True,True,26.155202,20.249065,4.813657,0.564877,0.014416,0.112052,0.160711,0.218187,-0.022237
6,6,False,True,27.594758,20.221204,6.434320,0.629021,0.014344,0.111446,0.087687,0.096507,-0.000189
6,6,True,True,25.772433,20.519798,4.185795,0.580683,0.012901,0.107394,0.174720,0.173292,-0.017802
7,7,False,True,26.077795,20.462495,4.682518,0.593958,0.013501,0.107798,0.099161,0.118098,-0.000228
7,7,True,True,27.116662,21.551433,4.358827,0.596977,0.016342,0.114273,0.236528,0.220271,-0.021961
8,8,True,True,26.218544,20.779475,4.181663,0.616378,0.015805,0.119696,0.246926,0.234523,-0.024078
8,8,False,True,25.886867,20.066035,4.578600,0.728687,0.014691,0.106215,0.141284,0.250956,-0.000328
9,9,False,True,26.657964,21.573283,4.139791,0.564360,0.013479,0.111643,0.105823,0.149275,-0.000268
9,9,True,True,25.582660,20.092914,4.282635,0.538822,0.014243,0.105326,0.265144,0.256069,-0.027460
10,10,True,True,26.132801,20.324118,4.523646,0.557843,0.013909,0.108893,0.294016,0.276799,-0.033530
10,10,False,True,25.514818,20.178887,4.329442,0.581360,0.016424,0.123242,0.133229,0.151977,-0.000218
inf,inf,False,True,25.664012,20.130466,4.205099,0.506322,0.013824,0.107210,0.288272,0.412455,-0.000325
inf,inf,True,True,26.555425,19.949353,4.339263,0.533855,0.014395,0.116575,0.807922,0.697848,-0.096164
