rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,17.812129,14.368481,3.012595,0.352338,0.009668,0.035734,0.031104,0.002068,-0.000099
1,1,False,True,17.737439,14.278052,2.989358,0.376930,0.009730,0.029251,0.040033,0.013949,-0.000094
2,2,False,True,17.898246,14.435810,3.004288,0.347473,0.009725,0.028578,0.043517,0.028712,-0.000102
3,3,False,True,17.809751,14.310501,3.028628,0.349479,0.010226,0.028794,0.045974,0.036004,-0.000106
4,4,False,True,17.811226,14.326299,2.992889,0.357896,0.009651,0.029665,0.049319,0.045351,-0.000115
5,5,False,True,17.749114,14.261800,2.975740,0.360345,0.009645,0.029288,0.055108,0.057024,-0.000122
6,6,False,True,17.791727,14.272404,2.985339,0.363889,0.009788,0.031813,0.059421,0.068899,-0.000130
7,7,False,True,17.878584,14.327324,2.998095,0.363863,0.009895,0.036124,0.062316,0.080785,-0.000141
8,8,False,True,17.817496,14.281188,2.984835,0.341672,0.009819,0.029808,0.069609,0.100365,-0.000151
9,9,False,True,17.911024,14.362715,2.976407,0.355719,0.009985,0.029816,0.073887,0.102307,-0.000149
10,10,False,True,18.166004,14.564160,3.013543,0.363106,0.010525,0.030179,0.078392,0.105906,-0.000153
inf,inf,False,True,18.193015,14.384755,2.965006,0.322785,0.009847,0.029972,0.186833,0.293496,-0.000283
