rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,False,274,433,82,66,16,145,532,0,387,0,145,34,0,0,0,0,0,18,0
1,1,False,False,274,420,82,66,16,132,532,13,387,0,132,34,6,3,0,3,3,18,0
2,2,False,False,274,409,82,66,16,121,532,24,387,0,121,34,11,5,0,6,5,18,0
3,3,False,False,274,395,82,66,16,107,532,38,387,0,107,34,13,8,0,5,8,18,0
4,4,False,False,274,390,82,66,16,102,532,43,387,0,102,34,15,9,0,6,8,18,0
5,5,False,False,274,369,82,66,16,81,532,64,387,0,81,34,19,17,0,2,14,18,0
6,6,False,False,274,360,82,66,16,72,532,73,387,0,72,34,21,19,0,2,14,18,0
7,7,False,False,274,357,82,66,16,69,532,76,387,0,69,34,22,19,0,3,14,18,0
8,8,False,False,274,343,82,66,16,55,532,90,387,0,55,34,26,23,0,3,12,18,0
9,9,False,False,274,343,82,66,16,55,532,90,387,0,55,34,26,23,0,3,12,18,0
10,10,False,False,274,332,82,66,16,44,532,101,387,0,44,34,27,25,0,2,16,18,0
inf,inf,False,False,274,288,82,66,16,0,532,145,387,0,0,34,33,31,0,2,12,18,0
