rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,False,0.145189,0.084312,0.042439,0.014054,0.000386,0.003757,0.000001,0.000222,0.000008
1,1,False,False,0.144477,0.085248,0.041436,0.012618,0.000371,0.003813,0.000001,0.000966,0.000014
2,2,False,False,0.140582,0.082674,0.040844,0.011468,0.000362,0.003752,0.000001,0.001451,0.000020
3,3,False,False,0.142051,0.084157,0.040755,0.011074,0.000376,0.003853,0.000001,0.001802,0.000023
4,4,False,False,0.141963,0.084337,0.040616,0.010778,0.000367,0.003818,0.000001,0.002011,0.000025
5,5,False,False,0.106245,0.064315,0.029412,0.007425,0.000275,0.002912,0.000001,0.001876,0.000022
6,6,False,False,0.143856,0.086576,0.040132,0.009917,0.000392,0.003868,0.000001,0.002929,0.000032
7,7,False,False,0.139390,0.083296,0.039113,0.009757,0.000380,0.003784,0.000001,0.003016,0.000033
8,8,False,False,0.138570,0.082953,0.038628,0.009271,0.000361,0.003791,0.000001,0.003512,0.000039
9,9,False,False,0.137481,0.082098,0.038524,0.009218,0.000359,0.003706,0.000001,0.003522,0.000040
10,10,False,False,0.139818,0.084371,0.038360,0.009048,0.000362,0.003770,0.000001,0.003851,0.000043
inf,inf,False,False,0.137445,0.082455,0.037409,0.008105,0.000357,0.003770,0.000001,0.005282,0.000054
