rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.230081,0.157608,0.040837,0.011636,0.000321,0.011355,0.008060,0.000223,-0.000008
1,1,False,True,0.232224,0.158186,0.037521,0.010146,0.000322,0.010772,0.014219,0.001011,-0.000012
2,2,False,True,0.237541,0.158089,0.037497,0.009441,0.000319,0.011309,0.019292,0.001546,-0.000015
3,3,False,True,0.239827,0.159055,0.036875,0.008327,0.000315,0.011687,0.021482,0.002035,-0.000019
4,4,False,True,0.240820,0.159667,0.036907,0.007770,0.000313,0.011217,0.022974,0.001920,-0.000020
5,5,False,True,0.241208,0.159085,0.036018,0.007096,0.000310,0.011584,0.024442,0.002617,-0.000024
6,6,False,True,0.245487,0.162244,0.036197,0.007465,0.000368,0.012756,0.023626,0.002773,-0.000026
7,7,False,True,0.247366,0.162487,0.035724,0.007315,0.000374,0.013049,0.025157,0.003197,-0.000029
8,8,False,True,0.252722,0.166045,0.036547,0.006892,0.000361,0.012266,0.027250,0.003300,-0.000030
9,9,False,True,0.241751,0.157869,0.035194,0.006790,0.000306,0.012091,0.025833,0.003605,-0.000030
10,10,False,True,0.242766,0.159261,0.035113,0.006279,0.000309,0.012350,0.025584,0.003805,-0.000032
inf,inf,False,True,0.251879,0.163776,0.034317,0.007829,0.000403,0.012406,0.027016,0.006017,-0.000071
