key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,193,193,193,193,193,193,193,193,193,193,193,193
num_edges,258,258,256,255,251,251,251,251,251,250,246,218
num_ops,49,49,49,49,49,49,49,49,49,49,49,49
num_read,42,42,42,42,42,42,42,42,42,42,42,42
num_writes,7,7,7,7,7,7,7,7,7,7,7,7
num_time_edges,76,74,66,63,59,56,55,51,51,49,38,0
num_races,294,294,294,294,294,294,294,294,294,294,294,294
num_harmful,0,2,10,13,13,16,17,21,21,23,30,40
num_commute,218,218,218,218,218,218,218,218,218,218,218,218
num_covered,0,0,0,0,4,4,4,4,4,4,8,36
num_time_filtered_races,76,74,66,63,59,56,55,51,51,49,38,0
num_pkts,42,42,42,42,42,42,42,42,42,42,42,42
num_per_pkt_races,0,2,10,13,13,16,17,21,21,23,30,40
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,4,4,4,4,4,4,8,36
num_per_pkt_entry_version_race,0,2,10,13,9,12,13,17,17,19,22,4
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,6,6,6,6,6,6,6,6,6,6,6,6
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
