rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,193,258,49,42,7,76,294,0,218,0,76,42,0,0,0,0,0,7,0
1,1,False,True,193,258,49,42,7,74,294,2,218,0,74,42,2,0,0,2,0,7,0
2,2,False,True,193,256,49,42,7,66,294,10,218,0,66,42,10,0,0,10,0,7,0
3,3,False,True,193,255,49,42,7,63,294,13,218,0,63,42,13,0,0,13,0,7,0
4,4,False,True,193,251,49,42,7,59,294,13,218,4,59,42,13,0,0,13,0,7,0
5,5,False,True,193,251,49,42,7,56,294,16,218,4,56,42,16,0,0,16,0,7,0
6,6,False,True,193,251,49,42,7,55,294,17,218,4,55,42,17,0,0,17,0,7,0
7,7,False,True,193,251,49,42,7,51,294,21,218,4,51,42,21,0,0,21,0,7,0
8,8,False,True,193,251,49,42,7,51,294,21,218,4,51,42,21,0,0,21,0,7,0
9,9,False,True,193,250,49,42,7,49,294,23,218,4,49,42,23,0,0,23,0,7,0
10,10,False,True,193,246,49,42,7,38,294,30,218,8,38,42,30,0,0,30,0,7,0
inf,inf,False,True,193,218,49,42,7,0,294,40,218,36,0,42,40,0,0,40,0,7,0
