rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.139407,0.100162,0.021493,0.007686,0.000232,0.004003,0.005547,0.000260,0.000009
1,1,False,True,0.127610,0.091951,0.019378,0.006773,0.000219,0.003657,0.005195,0.000414,0.000009
2,2,False,True,0.138684,0.099382,0.021144,0.007137,0.000226,0.003727,0.006102,0.000940,0.000012
3,3,False,True,0.135870,0.098464,0.021020,0.006234,0.000183,0.003418,0.005522,0.001005,0.000011
4,4,False,True,0.125581,0.089921,0.018854,0.006295,0.000203,0.003467,0.005717,0.001097,0.000013
5,5,False,True,0.139086,0.099071,0.021064,0.006833,0.000211,0.003676,0.006791,0.001410,0.000016
6,6,False,True,0.123639,0.088074,0.018541,0.006018,0.000186,0.003376,0.006121,0.001297,0.000014
7,7,False,True,0.126500,0.089630,0.018715,0.006014,0.000202,0.003517,0.006866,0.001526,0.000016
8,8,False,True,0.126996,0.090100,0.018810,0.006090,0.000214,0.003712,0.006473,0.001567,0.000015
9,9,False,True,0.142479,0.100606,0.021304,0.006698,0.000230,0.003930,0.007788,0.001888,0.000020
10,10,False,True,0.145029,0.102801,0.021025,0.006288,0.000231,0.003888,0.008340,0.002412,0.000023
inf,inf,False,True,0.145176,0.100861,0.020208,0.005746,0.000226,0.003952,0.010504,0.003629,0.000034
