rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.159909,0.117902,0.019953,0.005762,0.000130,0.010840,0.005050,0.000235,-0.000006
1,1,False,True,0.161666,0.119314,0.020116,0.006209,0.000156,0.010392,0.005069,0.000371,-0.000008
2,2,False,True,0.152844,0.111102,0.019348,0.005395,0.000124,0.010198,0.005567,0.001056,-0.000011
3,3,False,True,0.155177,0.113414,0.019277,0.005464,0.000149,0.010311,0.005481,0.001039,-0.000010
4,4,False,True,0.162450,0.118788,0.019757,0.005373,0.000125,0.010655,0.006420,0.001286,-0.000012
5,5,False,True,0.155346,0.111516,0.019089,0.005249,0.000123,0.010753,0.007189,0.001384,-0.000012
6,6,False,True,0.156757,0.112274,0.019684,0.005580,0.000146,0.010900,0.006546,0.001574,-0.000022
7,7,False,True,0.156982,0.111654,0.019042,0.005396,0.000123,0.012260,0.006688,0.001773,-0.000013
8,8,False,True,0.154474,0.111222,0.018958,0.005164,0.000122,0.010805,0.006529,0.001629,-0.000013
9,9,False,True,0.156974,0.113004,0.019113,0.005089,0.000125,0.010717,0.006935,0.001943,-0.000016
10,10,False,True,0.161887,0.116134,0.019397,0.004837,0.000125,0.010637,0.008200,0.002507,-0.000018
inf,inf,False,True,0.160437,0.113297,0.018639,0.004586,0.000121,0.011050,0.009241,0.003445,-0.000026
