key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,614,614,614,614,614,614,614,614,614,614,614,614
num_edges,1518,1513,1501,1493,1489,1477,1474,1460,1442,1405,1340,793
num_ops,169,169,169,169,169,169,169,169,169,169,169,169
num_read,122,122,122,122,122,122,122,122,122,122,122,122
num_writes,47,47,47,47,47,47,47,47,47,47,47,47
num_time_edges,831,802,781,765,749,723,709,685,662,621,556,0
num_races,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160
num_harmful,0,29,46,58,72,93,105,121,143,183,248,711
num_commute,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329
num_covered,0,0,4,8,10,15,17,25,26,27,27,120
num_time_filtered_races,831,802,781,765,749,723,709,685,662,621,556,0
num_pkts,42,42,42,42,42,42,42,42,42,42,42,42
num_per_pkt_races,0,12,15,19,25,30,33,38,39,40,40,42
num_per_pkt_inconsistent,0,10,12,13,15,20,23,25,26,27,27,32
num_per_pkt_inconsistent_covered,0,0,0,1,1,3,3,5,5,5,5,6
num_per_pkt_entry_version_race,0,2,3,5,9,7,7,8,8,8,8,4
num_per_pkt_inconsistent_no_repeat,0,10,12,13,13,14,14,17,17,18,20,18
num_versions,34,34,34,34,34,34,34,34,34,34,34,34
num_racing_versions,0,0,2,3,3,4,4,6,8,15,23,52
