rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,614,1518,169,122,47,831,2160,0,1329,0,831,42,0,0,0,0,0,34,0
1,1,False,True,614,1513,169,122,47,802,2160,29,1329,0,802,42,12,10,0,2,10,34,0
2,2,False,True,614,1501,169,122,47,781,2160,46,1329,4,781,42,15,12,0,3,12,34,2
3,3,False,True,614,1493,169,122,47,765,2160,58,1329,8,765,42,19,13,1,5,13,34,3
4,4,False,True,614,1489,169,122,47,749,2160,72,1329,10,749,42,25,15,1,9,13,34,3
5,5,False,True,614,1477,169,122,47,723,2160,93,1329,15,723,42,30,20,3,7,14,34,4
6,6,False,True,614,1474,169,122,47,709,2160,105,1329,17,709,42,33,23,3,7,14,34,4
7,7,False,True,614,1460,169,122,47,685,2160,121,1329,25,685,42,38,25,5,8,17,34,6
8,8,False,True,614,1442,169,122,47,662,2160,143,1329,26,662,42,39,26,5,8,17,34,8
9,9,False,True,614,1405,169,122,47,621,2160,183,1329,27,621,42,40,27,5,8,18,34,15
10,10,False,True,614,1340,169,122,47,556,2160,248,1329,27,556,42,40,27,5,8,20,34,23
inf,inf,False,True,614,793,169,122,47,0,2160,711,1329,120,0,42,42,32,6,4,18,34,52
