rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,594,418,1012,8071,3924,11995,0,36042,36042,0,0,0,0,0,0,218,0
0,0,True,True,594,418,1012,8186,4251,12437,0,36126,36126,0,0,0,0,0,0,218,0
1,1,False,True,594,418,1012,7659,3836,11495,500,36042,36542,0,112,92,0,20,92,218,64
1,1,True,True,594,418,1012,7774,4156,11930,507,36126,36633,0,112,92,0,20,92,218,64
2,2,False,True,594,418,1012,7371,3680,11051,944,36042,36986,0,117,96,0,21,95,218,126
2,2,True,True,594,418,1012,7486,4000,11486,951,36126,37077,0,117,96,0,21,95,218,126
3,3,False,True,594,418,1012,6941,3451,10392,1603,36042,37645,0,122,102,0,20,102,218,200
3,3,True,True,594,418,1012,7054,3770,10824,1613,36126,37739,0,122,102,0,20,102,218,201
4,4,False,True,594,418,1012,6562,3232,9794,2201,36042,38243,2,125,103,0,22,103,218,266
4,4,True,True,594,418,1012,6667,3547,10214,2223,36126,38349,2,125,103,0,22,103,218,271
5,5,False,True,594,418,1012,6201,3053,9254,2741,36042,38783,4,132,109,0,23,108,218,315
5,5,True,True,594,418,1012,6301,3365,9666,2771,36126,38897,4,132,109,0,23,108,218,323
6,6,False,True,594,418,1012,5858,2896,8754,3241,36042,39283,12,136,114,2,20,114,218,358
6,6,True,True,594,418,1012,5954,3191,9145,3292,36126,39418,4,136,114,0,22,114,218,372
7,7,False,True,594,418,1012,5547,2719,8266,3729,36042,39771,26,141,117,4,20,117,218,401
7,7,True,True,594,418,1012,5618,2987,8605,3832,36126,39958,9,141,117,2,22,116,218,422
8,8,False,True,594,418,1012,5237,2611,7848,4147,36042,40189,48,149,121,6,22,121,218,427
8,8,True,True,594,418,1012,5274,2858,8132,4305,36126,40431,20,149,121,4,24,120,218,454
9,9,False,True,594,418,1012,5005,2514,7519,4476,36042,40518,62,151,122,6,23,122,218,448
9,9,True,True,594,418,1012,5038,2757,7795,4642,36126,40768,24,151,122,4,25,121,218,477
10,10,False,True,594,418,1012,4787,2392,7179,4816,36042,40858,81,151,123,6,22,123,218,474
10,10,True,True,594,418,1012,4819,2629,7448,4989,36126,41115,25,151,123,4,24,119,218,505
inf,inf,False,True,594,418,1012,0,0,0,11995,36042,48037,440,166,135,8,23,126,218,1092
inf,inf,True,True,594,418,1012,0,0,0,12437,36126,48563,38,166,135,0,31,117,218,1182
