rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,False,2.306892,1.028754,1.227368,0.032247,0.005596,0.012232,0.000001,0.000637,0.000041
1,1,False,False,2.311442,1.051347,1.188451,0.031687,0.005599,0.012302,0.000001,0.021478,0.000562
2,2,False,False,2.234319,1.017618,1.140172,0.031002,0.005481,0.012170,0.000001,0.026837,0.001021
3,3,False,False,2.113636,0.911852,1.119406,0.030613,0.005480,0.012164,0.000001,0.032342,0.001761
4,4,False,False,2.231339,1.024337,1.119812,0.029961,0.005472,0.012262,0.000001,0.036953,0.002526
5,5,False,False,2.231422,1.046439,1.095234,0.029532,0.005399,0.012144,0.000001,0.039680,0.002976
6,6,False,False,2.219816,1.029483,1.097290,0.027470,0.005451,0.012156,0.000001,0.044971,0.002979
7,7,False,False,2.229573,1.037899,1.092830,0.026947,0.005537,0.012420,0.000001,0.050406,0.003517
8,8,False,False,2.236312,1.043570,1.081312,0.026671,0.005303,0.012129,0.000001,0.061493,0.005817
9,9,False,False,2.252046,1.037510,1.070677,0.026384,0.005143,0.012071,0.000001,0.086910,0.013335
10,10,False,False,2.265633,1.027470,1.052827,0.026248,0.004913,0.012106,0.000001,0.118792,0.023260
inf,inf,False,False,2.624454,1.046791,0.930142,0.026067,0.004075,0.011322,0.000001,0.486307,0.119733
