rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,15.790106,10.262342,4.938597,0.444641,0.012283,0.028304,0.102441,0.001408,-0.000048
1,1,False,True,16.040437,10.297080,4.882187,0.346605,0.012639,0.032429,0.339999,0.123194,-0.006263
2,2,False,True,16.292717,10.596702,4.800662,0.106005,0.012788,0.029272,0.528184,0.197991,-0.021067
3,3,False,True,16.497034,10.295476,4.686637,0.089408,0.012565,0.028266,1.040500,0.308774,-0.035368
4,4,False,True,17.207835,10.304141,4.667284,0.083277,0.012115,0.031264,1.506139,0.550865,-0.052707
5,5,False,True,17.523518,10.239210,4.583323,0.081923,0.012690,0.027722,1.884485,0.495522,-0.198596
6,6,False,True,18.035002,10.279272,4.588744,0.080140,0.012038,0.028721,2.220308,0.582455,-0.243272
7,7,False,True,18.395254,10.276951,4.490240,0.079167,0.012166,0.027769,2.591021,0.658890,-0.259004
8,8,False,True,18.740838,10.346155,4.407235,0.077102,0.011202,0.027908,2.878143,0.750358,-0.242687
9,9,False,True,18.971363,10.282701,4.371457,0.076994,0.011520,0.028150,3.121970,0.802799,-0.275723
10,10,False,True,19.281513,10.319009,4.384740,0.076398,0.011564,0.031444,3.319880,0.858218,-0.280214
inf,inf,False,True,23.302127,10.301168,2.567606,0.062259,0.010651,0.028053,7.677811,2.114139,-0.540393
