rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,238,560,84,68,16,334,570,0,236,0,334,34,0,0,0,0,0,22,0
1,1,False,True,238,547,84,68,16,318,570,16,236,0,318,34,7,6,0,1,5,22,1
2,2,False,True,238,520,84,68,16,285,570,49,236,0,285,34,12,12,0,0,10,22,8
3,3,False,True,238,497,84,68,16,256,570,73,236,5,256,34,14,14,0,0,14,22,8
4,4,False,True,238,476,84,68,16,235,570,91,236,8,235,34,14,14,0,0,12,22,12
5,5,False,True,238,465,84,68,16,220,570,103,236,11,220,34,16,16,0,0,13,22,12
6,6,False,True,238,449,84,68,16,198,570,119,236,17,198,34,19,19,0,0,15,22,12
7,7,False,True,238,432,84,68,16,177,570,132,236,25,177,34,21,21,0,0,17,22,12
8,8,False,True,238,425,84,68,16,170,570,138,236,26,170,34,21,21,0,0,16,22,12
9,9,False,True,238,410,84,68,16,150,570,152,236,32,150,34,24,23,0,1,16,22,12
10,10,False,True,238,394,84,68,16,129,570,167,236,38,129,34,26,26,0,0,16,22,12
inf,inf,False,True,238,281,84,68,16,0,570,247,236,87,0,34,34,34,0,0,10,22,12
