rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.146011,0.092332,0.030541,0.007404,0.000374,0.003901,0.011276,0.000162,0.000011
1,1,False,True,0.149725,0.092227,0.030526,0.006897,0.000388,0.003942,0.015110,0.000610,0.000016
2,2,False,True,0.159539,0.093057,0.029875,0.006598,0.000386,0.004036,0.024745,0.000788,0.000044
3,3,False,True,0.161098,0.092474,0.029494,0.006401,0.000375,0.003968,0.027364,0.000967,0.000045
4,4,False,True,0.165035,0.094502,0.028241,0.005922,0.000384,0.004061,0.030667,0.001177,0.000071
5,5,False,True,0.164257,0.092309,0.027601,0.005277,0.000385,0.003920,0.033286,0.001395,0.000074
6,6,False,True,0.165566,0.093284,0.027644,0.005163,0.000383,0.004040,0.033476,0.001490,0.000076
7,7,False,True,0.165646,0.091843,0.027545,0.004958,0.000380,0.004018,0.035177,0.001637,0.000078
8,8,False,True,0.171102,0.092123,0.026366,0.004387,0.000371,0.003956,0.041785,0.001993,0.000111
9,9,False,True,0.180763,0.093456,0.026544,0.004122,0.000374,0.003976,0.049793,0.002209,0.000278
10,10,False,True,0.180312,0.093672,0.025761,0.004050,0.000376,0.004001,0.049732,0.002404,0.000305
inf,inf,False,True,0.175092,0.093734,0.023723,0.004073,0.000361,0.003949,0.044232,0.004785,0.000224
