rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.221098,0.138308,0.047909,0.013657,0.000469,0.014973,0.005531,0.000211,-0.000008
1,1,False,True,0.225002,0.142518,0.043786,0.011312,0.000406,0.011409,0.014450,0.001064,-0.000026
2,2,False,True,0.226999,0.141717,0.041867,0.007850,0.000422,0.011508,0.021598,0.001862,-0.000140
3,3,False,True,0.237400,0.141502,0.040620,0.006119,0.000383,0.012028,0.033807,0.002775,-0.000136
4,4,False,True,0.239054,0.142765,0.039254,0.005840,0.000399,0.013341,0.033966,0.003256,-0.000201
5,5,False,True,0.241936,0.139547,0.039565,0.005903,0.000390,0.012513,0.039927,0.003822,-0.000238
6,6,False,True,0.248138,0.139078,0.039057,0.005506,0.000394,0.012593,0.046826,0.004438,-0.000212
7,7,False,True,0.256796,0.141349,0.038312,0.005355,0.000369,0.012326,0.053890,0.004901,-0.000260
8,8,False,True,0.264491,0.145614,0.038677,0.005658,0.000377,0.012021,0.056287,0.005554,-0.000267
9,9,False,True,0.259969,0.135871,0.038708,0.005124,0.000383,0.011080,0.062739,0.005802,-0.000224
10,10,False,True,0.277687,0.144087,0.038041,0.005007,0.000391,0.010823,0.071346,0.007710,-0.000244
inf,inf,False,True,0.238560,0.137981,0.035154,0.003939,0.000365,0.010795,0.038889,0.011129,-0.000275
