rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,1.090544,0.505245,0.115380,0.062225,0.000245,0.012221,0.394137,0.001022,-0.000005
0,0,True,True,1.047223,0.491173,0.114433,0.067780,0.000237,0.011612,0.361020,0.000913,-0.000005
1,1,False,True,1.238181,0.521231,0.115283,0.058151,0.000234,0.011354,0.526295,0.005567,-0.000009
1,1,True,True,1.259402,0.515947,0.114048,0.061032,0.000241,0.012504,0.549284,0.006290,-0.000011
2,2,False,True,1.303920,0.512129,0.112713,0.059917,0.000229,0.011442,0.597760,0.009657,-0.000013
2,2,True,True,1.299123,0.523079,0.112539,0.058205,0.000226,0.011139,0.584349,0.009513,-0.000015
3,3,False,True,1.399920,0.506518,0.117086,0.063457,0.000249,0.011398,0.684566,0.016570,-0.000017
3,3,True,True,1.500254,0.518353,0.114171,0.052755,0.000356,0.011626,0.786684,0.016183,-0.000062
4,4,False,True,1.471683,0.511250,0.113663,0.054636,0.000244,0.012008,0.754830,0.024965,-0.000027
4,4,True,True,1.677613,0.500369,0.114853,0.053749,0.000261,0.012147,0.974810,0.021323,-0.000052
5,5,False,True,1.587367,0.529577,0.113050,0.049202,0.000300,0.013458,0.856153,0.025541,-0.000027
5,5,True,True,1.877473,0.511695,0.111890,0.048443,0.000210,0.011531,1.164640,0.028922,-0.000079
6,6,False,True,1.602018,0.497366,0.112025,0.046236,0.000231,0.013576,0.901885,0.030608,-0.000037
6,6,True,True,2.090294,0.495565,0.114653,0.049760,0.000233,0.011503,1.384947,0.033502,-0.000071
7,7,False,True,1.669546,0.501744,0.117029,0.045679,0.000223,0.011961,0.957652,0.035172,-0.000036
7,7,True,True,2.204616,0.533728,0.109338,0.047776,0.000230,0.012184,1.465186,0.036043,-0.000062
8,8,False,True,1.710149,0.506714,0.105791,0.048588,0.000230,0.012932,0.992854,0.042940,-0.000040
8,8,True,True,2.270840,0.500677,0.110156,0.045181,0.000282,0.014360,1.559246,0.040817,-0.000066
9,9,False,True,1.806032,0.525935,0.114760,0.044404,0.000197,0.011559,1.064126,0.044940,-0.000046
9,9,True,True,2.517552,0.534956,0.109471,0.046892,0.000217,0.012334,1.761676,0.051875,-0.000072
10,10,False,True,1.776534,0.499236,0.114306,0.041525,0.000202,0.011481,1.062355,0.047322,-0.000048
10,10,True,True,2.603986,0.514509,0.106793,0.043708,0.000213,0.015317,1.872356,0.050914,-0.000113
inf,inf,False,True,1.779048,0.527930,0.108000,0.029038,0.000188,0.013803,0.987027,0.112896,-0.000104
inf,inf,True,True,1.922349,0.496389,0.098721,0.026032,0.000131,0.011898,1.166152,0.122836,-0.000129
