rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,1.027143,0.469427,0.116195,0.060440,0.000265,0.011372,0.368169,0.001231,-0.000007
1,1,False,True,1.162954,0.486674,0.113959,0.049647,0.000247,0.011508,0.494362,0.006506,-0.000014
2,2,False,True,1.244166,0.479268,0.114702,0.050214,0.000227,0.011243,0.576468,0.011987,-0.000022
3,3,False,True,1.318339,0.465195,0.111882,0.048236,0.000215,0.011160,0.665076,0.016511,-0.000028
4,4,False,True,1.365237,0.461361,0.109500,0.044931,0.000225,0.011507,0.717143,0.020499,-0.000036
5,5,False,True,1.514939,0.467621,0.111760,0.049307,0.000216,0.011917,0.847800,0.026234,-0.000049
6,6,False,True,1.542479,0.471168,0.108768,0.042914,0.000195,0.011273,0.874730,0.033342,-0.000053
7,7,False,True,1.576901,0.467040,0.108542,0.041476,0.000190,0.011600,0.906784,0.041170,-0.000063
8,8,False,True,1.610255,0.459304,0.106120,0.038472,0.000188,0.011761,0.949067,0.045234,-0.000073
9,9,False,True,1.698117,0.469233,0.104854,0.038936,0.000203,0.013157,1.020222,0.051390,-0.000084
10,10,False,True,1.702546,0.462307,0.104238,0.037346,0.000223,0.011200,1.032739,0.054374,-0.000083
inf,inf,False,True,1.637823,0.468650,0.089691,0.024666,0.000122,0.011896,0.909948,0.132619,-0.000194
