key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180
num_edges,3265,3237,3226,3206,3180,3145,3110,3073,3031,2996,2952,2460
num_ops,539,539,539,539,539,539,539,539,539,539,539,539
num_read,518,518,518,518,518,518,518,518,518,518,518,518
num_writes,21,21,21,21,21,21,21,21,21,21,21,21
num_time_edges,1301,1253,1224,1184,1134,1075,1014,949,887,828,759,0
num_races,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010
num_harmful,0,47,73,111,141,179,214,253,290,323,358,745
num_commute,9709,9709,9709,9709,9709,9709,9709,9709,9709,9709,9709,9709
num_covered,0,1,4,6,26,47,73,99,124,150,184,556
num_time_filtered_races,1301,1253,1224,1184,1134,1075,1014,949,887,828,759,0
num_pkts,522,522,522,522,522,522,522,522,522,522,522,522
num_per_pkt_races,0,35,53,76,100,124,150,178,198,222,247,514
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,1,4,6,24,43,66,91,114,136,163,492
num_per_pkt_entry_version_race,0,34,49,70,76,81,84,87,84,86,84,22
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,23,23,23,23,23,23,23,23,23,23,23,23
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
